time x y z yaw
11.840 32.4283 -1.3297 0.3292 1.5707
11.872 32.4508 -1.3295 0.3292 1.5707
11.904 32.4733 -1.3293 0.3292 1.5707
11.936 32.4959 -1.3292 0.3292 1.5707
11.968 32.5184 -1.3290 0.3292 1.5707
12.000 32.5409 -1.3289 0.3292 1.5708
12.032 32.5634 -1.3287 0.3292 1.5708
12.064 32.5860 -1.3285 0.3292 1.5708
12.096 32.6085 -1.3284 0.3292 1.5708
12.128 32.6310 -1.3282 0.3292 1.5708
12.160 32.6536 -1.3280 0.3292 1.5708
12.192 32.6761 -1.3279 0.3292 1.5708
12.224 32.6986 -1.3277 0.3292 1.5708
12.256 32.7211 -1.3275 0.3292 1.5708
12.288 32.7437 -1.3274 0.3292 1.5708
12.320 32.7662 -1.3272 0.3292 1.5708
12.352 32.7887 -1.3271 0.3292 1.5708
12.384 32.8112 -1.3269 0.3292 1.5708
12.416 32.8338 -1.3267 0.3292 1.5708
12.448 32.8563 -1.3266 0.3292 1.5708
12.480 32.8788 -1.3264 0.3292 1.5708
12.512 32.9014 -1.3262 0.3292 1.5708
12.544 32.9239 -1.3261 0.3292 1.5708
12.576 32.9464 -1.3259 0.3292 1.5707
12.608 32.9689 -1.3257 0.3292 1.5707
12.640 32.9915 -1.3256 0.3292 1.5707
12.672 33.0140 -1.3254 0.3292 1.5707
12.704 33.0365 -1.3252 0.3292 1.5707
12.736 33.0591 -1.3251 0.3292 1.5707
12.768 33.0816 -1.3249 0.3292 1.5707
12.800 33.1041 -1.3248 0.3292 1.5707
12.832 33.1266 -1.3246 0.3292 1.5707
12.864 33.1492 -1.3244 0.3292 1.5707
12.896 33.1717 -1.3243 0.3292 1.5707
12.928 33.1942 -1.3241 0.3292 1.5707
12.960 33.2167 -1.3239 0.3292 1.5707
12.992 33.2393 -1.3238 0.3292 1.5708
13.024 33.2618 -1.3236 0.3292 1.5708
