time x y z yaw
9.888 30.9467 -1.3405 0.3292 1.5707
9.920 30.9689 -1.3403 0.3292 1.5707
9.952 30.9910 -1.3401 0.3292 1.5707
9.984 31.0132 -1.3400 0.3292 1.5707
10.016 31.0354 -1.3398 0.3292 1.5707
10.048 31.0576 -1.3397 0.3292 1.5707
10.080 31.0797 -1.3395 0.3292 1.5707
10.112 31.1019 -1.3393 0.3292 1.5707
10.144 31.1241 -1.3392 0.3292 1.5707
10.176 31.1463 -1.3390 0.3292 1.5707
10.208 31.1684 -1.3389 0.3292 1.5708
10.240 31.1906 -1.3387 0.3292 1.5708
10.272 31.2128 -1.3385 0.3292 1.5708
10.304 31.2350 -1.3384 0.3292 1.5708
10.336 31.2571 -1.3382 0.3292 1.5708
10.368 31.2793 -1.3380 0.3292 1.5708
10.400 31.3015 -1.3379 0.3292 1.5708
10.432 31.3237 -1.3377 0.3292 1.5708
10.464 31.3458 -1.3376 0.3292 1.5708
10.496 31.3680 -1.3374 0.3292 1.5708
10.528 31.3902 -1.3372 0.3292 1.5708
10.560 31.4124 -1.3371 0.3292 1.5708
10.592 31.4345 -1.3369 0.3292 1.5708
10.624 31.4567 -1.3368 0.3292 1.5708
10.656 31.4789 -1.3366 0.3292 1.5708
10.688 31.5011 -1.3364 0.3292 1.5708
10.720 31.5232 -1.3363 0.3292 1.5708
10.752 31.5454 -1.3361 0.3292 1.5707
10.784 31.5676 -1.3359 0.3292 1.5707
10.816 31.5898 -1.3358 0.3292 1.5707
10.848 31.6119 -1.3356 0.3292 1.5707
10.880 31.6341 -1.3355 0.3292 1.5707
10.912 31.6563 -1.3353 0.3292 1.5707
10.944 31.6785 -1.3351 0.3292 1.5707
10.976 31.7006 -1.3350 0.3292 1.5707
11.008 31.7228 -1.3348 0.3292 1.5707
11.040 31.7450 -1.3347 0.3292 1.5707
11.072 31.7672 -1.3345 0.3292 1.5707
11.104 31.7893 -1.3343 0.3292 1.5707
11.136 31.8115 -1.3342 0.3292 1.5707
11.168 31.8337 -1.3340 0.3292 1.5707
11.200 31.8559 -1.3338 0.3292 1.5708
11.232 31.8780 -1.3337 0.3292 1.5708
11.264 31.9002 -1.3335 0.3292 1.5708
11.296 31.9224 -1.3334 0.3292 1.5708
11.328 31.9446 -1.3332 0.3292 1.5708
11.360 31.9667 -1.3330 0.3292 1.5708
11.392 31.9889 -1.3329 0.3292 1.5708
11.424 32.0111 -1.3327 0.3292 1.5708
11.456 32.0333 -1.3326 0.3292 1.5708
11.488 32.0555 -1.3324 0.3292 1.5708
11.520 32.0776 -1.3322 0.3292 1.5708
11.552 32.0998 -1.3321 0.3292 1.5708
11.584 32.1220 -1.3319 0.3292 1.5708
11.616 32.1442 -1.3318 0.3292 1.5708
11.648 32.1663 -1.3316 0.3292 1.5708
11.680 32.1885 -1.3314 0.3292 1.5708
11.712 32.2107 -1.3313 0.3292 1.5708
11.744 32.2329 -1.3311 0.3292 1.5708
11.776 32.2550 -1.3309 0.3292 1.5707
11.808 32.2772 -1.3308 0.3292 1.5707
11.840 32.2994 -1.3306 0.3292 1.5707
11.872 32.3216 -1.3305 0.3292 1.5707
11.904 32.3437 -1.3303 0.3292 1.5707
11.936 32.3659 -1.3301 0.3292 1.5707
11.968 32.3881 -1.3300 0.3292 1.5707
12.000 32.4103 -1.3298 0.3292 1.5707
12.032 32.4324 -1.3297 0.3292 1.5707
12.064 32.4546 -1.3295 0.3292 1.5707
12.096 32.4768 -1.3293 0.3292 1.5707
12.128 32.4990 -1.3292 0.3292 1.5707
12.160 32.5211 -1.3290 0.3292 1.5707
12.192 32.5433 -1.3288 0.3292 1.5708
12.224 32.5655 -1.3287 0.3292 1.5708
12.256 32.5877 -1.3285 0.3292 1.5708
12.288 32.6098 -1.3284 0.3292 1.5708
12.320 32.6320 -1.3282 0.3292 1.5708
12.352 32.6542 -1.3280 0.3292 1.5708
12.384 32.6764 -1.3279 0.3292 1.5708
12.416 32.6985 -1.3277 0.3292 1.5708
12.448 32.7207 -1.3276 0.3292 1.5708
12.480 32.7429 -1.3274 0.3292 1.5708
12.512 32.7651 -1.3272 0.3292 1.5708
12.544 32.7872 -1.3271 0.3292 1.5708
12.576 32.8094 -1.3269 0.3292 1.5708
12.608 32.8316 -1.3267 0.3292 1.5708
12.640 32.8538 -1.3266 0.3292 1.5708
12.672 32.8759 -1.3264 0.3292 1.5708
